name,roast_num,aroma,acid,body,flavor,aftertaste,with_milk,rating
Granja La Esperanza Tres Dragones Natural,2,9,1,8,9,8,9,93
Costa Rica Tirra Natural,2,9,1,8,9,8,8,92
Gatugi Triple,1,9,9,9,9,9,1,95
Sulawesi Toarco,2,9,8,8,9,8,1,92
Ethiopia Yirgacheffe Natural Espresso,2,9,1,9,9,8,9,94
Ethiopia Yirgacheffe Natural,2,9,9,9,9,8,1,94
Guatemala Finca El General Lot ALT8 Espresso,2,9,1,9,9,8,9,94
Green Dolphin Blend Espresso,2,9,1,9,9,8,9,94
H Coffee Espresso Blend 01,3,9,1,9,9,8,8,93
Brazil Conquista,2,9,8,8,9,8,1,92
Ethiopia Kochere Natural,2,8,8,8,9,7,1,90
Via Instant Veranda Blend Blonde,1,6,7,7,7,6,1,83
KANU Colombia Mild Roast Americano (Instant Coffee),7,7,3,6,6,4,1,72
Augie’s Ethiopia Layo Teraga Natural (Instant Coffee),1,8,8,8,8,7,1,89
Premium Coffee (Instant Coffee),1,3,3,6,3,3,1,68
Augie’s Ethiopia Layo Teraga Washed (Instant Coffee),1,8,8,7,8,7,1,88
Taster’s Choice House Blend (Instant Coffee),1,2,1,5,2,3,1,63
Coava Costa Rica Los Nacientes (Instant Coffee),7,7,7,8,8,6,1,86
Ethiopia Duromina (Instant Coffee),1,7,7,7,8,7,1,86
Kochere Yirgacheffe Ethiopia (Instant Coffee),1,8,7,7,7,7,1,86
Rayos del Sol Peru Light Roast (Instant Coffee),1,7,7,7,7,6,1,84
The Blend Sumiyaki Coffee (Instant Coffee),7,7,6,7,7,6,1,83
Ethiopia Sidama Sasaba Natural,2,9,8,9,9,8,1,93
Kenya AA Kirinyaga,2,9,9,8,9,8,1,93
Ethiopia Limu,2,9,9,8,9,8,1,93
Ethiopia Bensa Segra Natural,2,9,8,9,9,8,1,93
Ethiopia Hambela Natural,2,9,9,9,9,8,1,94
Ethiopia Kayon Mountain,2,9,8,9,9,8,1,93
Guatemala Huehuetenango La Garita,2,9,8,8,9,8,1,92
Roba Ethiopia (Chelbessa),2,9,9,8,9,8,1,93
Ethiopia Hambela Hasam,2,9,8,9,9,8,1,93
Kenya Kabare AA,2,9,9,8,9,8,1,93
El Salvador Finca Nombre de Dios Honey,2,9,8,8,9,8,1,92
Ethiopia Gera Limmu Oromia,2,9,9,8,9,8,1,94
Kenya Kabare Konyu,2,9,9,9,9,8,1,94
Costa Rica Francisco Ruiz,2,8,8,8,9,7,1,90
Alemu Bukato Espresso,2,9,1,9,9,9,9,95
Alemu Bukato Ethiopia,2,9,9,8,9,8,1,93
ASOPEP Colombia,2,8,8,8,9,8,1,91
Tarime Tanzania,2,9,9,9,9,9,1,95
Guachepelin Costa Rica,1,9,8,9,9,8,1,93
Berlina Geisha,2,9,9,9,10,9,1,96
Karimikui Kenya,2,9,9,9,9,8,1,94
Kenya Baragwi Thimu Peaberry,2,9,9,9,9,8,1,94
Kariru Kenya,2,9,9,9,9,8,1,94
Esmeralda Estate Porton Geisha Natural,2,9,9,9,10,9,1,96
Kenya Kiambu,2,9,9,9,9,8,1,94
Kenya Gatuya,3,9,9,8,9,8,1,93
Ethiopia,2,9,9,8,9,8,1,93
Kenya Gatuyaini,2,9,8,9,9,8,1,93
Kenya AA Top Lot,3,9,8,9,9,8,1,93
Kenya Kainamui,2,9,9,8,9,8,1,93
Kenya Kariru PB,1,9,8,8,9,8,1,92
Organic Ethiopia Sidama Natural,2,9,8,8,9,8,1,92
Kenya Mwiria,2,9,8,8,9,8,1,92
Colombia Narino Excelsio,2,9,8,8,9,8,1,92
Ethiopia Washed Phoenix Special “Muse”,4,9,1,9,9,9,9,95
Kenya AB Phoenix Special “Glory”,4,9,1,8,9,9,9,94
Cupid Blend,3,9,8,9,9,8,1,93
Ethiopia Natural Phoenix Special “Andromeda” Espresso,4,9,1,8,9,8,9,93
Kenya Ritho FCS Handege Factory AB,2,9,9,9,10,9,1,96
Ethiopia Yirgacheffe Botabaa Washed,1,9,9,9,9,9,1,95
Foxfire Espresso,3,8,1,8,9,8,9,92
Ethiopia Misti Valley,3,9,9,8,9,8,1,93
Ethiopia Guji,2,8,8,8,8,8,1,90
Kenya Kabingara,2,9,9,8,9,9,1,94
Guatemala Huehuetenango,3,9,8,8,9,8,1,92
Adanech Ethiopia Guji,1,8,8,8,9,8,1,91
El Salvador Loma La Gloria Black Honey,2,8,8,8,9,8,1,91
Yemen Haraaz,2,9,8,8,9,8,1,92
Thai Single-Origin Espresso Blend (A4+A4.5+A5),3,8,1,8,8,8,9,91
Thai Single-Origin Natural-Process Espresso,3,8,1,8,8,8,8,90
Kenya Konyu,2,9,9,9,9,9,1,95
Guatemala Finca San Gerardo,2,9,8,8,9,8,1,92
Hacienda La Esmeralda Cabana Geisha Natural,2,9,9,9,9,9,1,95
Finca La Aurora Camilina Geisha,2,9,9,9,10,9,1,96
Twenty Five,2,9,1,9,9,9,10,96
Kanyonyi Coffee Blend,3,9,8,8,9,8,1,92
Costa Rica Microlot Series San Cristobal Natural,2,9,8,8,9,8,1,92
La Union (Colombia),2,8,8,8,9,8,1,91
Colombia Luis Alberto Montoya Antioquia,2,9,8,8,9,8,1,92
Guatemala Octavio Lopez,2,1,1,1,1,1,1,92
Kibugu Kenya,2,9,9,9,9,9,1,95
Poseidon Blend Espresso,2,9,1,9,9,9,9,95
Kenya Gikirima Kibugu,2,9,9,9,9,8,1,94
Kenya AA Top Gachatha,2,9,9,8,9,8,1,93
Ethiopia Yirgacheffe G1 Chachale Natural,2,9,8,9,9,8,1,93
Quejina Guatemala,2,8,8,8,8,8,1,90
Christmas Blend,3,8,8,8,8,8,1,90
Thanksgiving Blend,3,8,8,8,8,8,1,90
Elida Estate Geisha Natural Dragonfly Reserve,2,9,9,9,9,9,1,95
Costa Rica Geisha Honey COE 2018 2nd Place,2,9,9,9,9,8,1,94
Guatemala Pacamara Natural,2,9,9,9,9,9,1,95
La Providencia Guatemala Maragogype,2,9,8,9,9,9,1,94
Finca Insul Guatemala Pacamara,2,9,9,8,9,8,1,93
Cuxinales Guatemala,2,9,8,9,9,8,1,93
Nicaragua La Benedicion Pacamara,2,9,8,9,9,8,1,93
Nicaragua Mierisch Finca La Huella Yellow Pacamara Honey,1,9,8,9,9,8,1,93
El Salvador Finca El Cerro Pacamara Black Honey,2,9,8,9,9,8,1,93
Nicaragua Mierisch Finca La Huella Yellow Pacamara Honey,1,8,9,9,9,8,1,93
El Salvador Finca Himalaya Pacamara,2,9,8,8,9,8,1,92
Y-3 Geisha Hacienda Esmeralda,1,8,8,8,9,7,1,90
Flowery Nekisse,2,9,9,9,9,9,1,95
Colombia El Obraje Gesha,2,9,9,9,9,8,1,94
Holiday Sweet Blend,2,9,9,9,9,8,1,94
Camilina Geisha,2,9,9,9,9,8,1,94
Mama Cata Geisha Washed,2,9,9,9,9,8,1,94
Panama Finca Lerida Geisha Black Honey,2,9,8,9,9,8,1,93
Panama Finca Lerida Geisha Washed,2,9,9,8,9,8,1,93
Wei Rong Blend,2,9,9,8,9,9,1,94
Ethiopia Kayon Mountain,2,9,8,9,9,8,1,93
Ethiopia Reko,2,8,8,8,9,8,1,91
Organic Mocha Java Espresso,3,8,1,8,8,8,8,90
100% Arabica Freeze-Dried Colombian (Instant Coffee),7,7,7,8,8,8,1,88
Perla del Otún,2,8,1,8,8,9,8,91
Decaf Classic Espresso,3,8,1,8,8,7,9,90
Colombia El Sauce,2,8,8,8,8,8,1,90
Kiunyu Peaberry,2,9,9,9,9,8,1,94
El Aguila SL28 El Salvador,2,8,9,9,9,8,1,93
Nano Challa,2,9,8,9,9,8,1,93
Costa Rica Volcán Azúl Single-Origin Espresso,3,9,1,8,9,8,8,92
Kona Mocca®,3,9,9,9,10,9,1,96
Select Reserve Guatemala El Aceituno “El Bonito” Microlot,2,8,8,8,9,8,1,91
Foothills Series Hambela Ethiopia,2,8,8,8,9,8,1,91
Ethiopia Gugi,2,9,8,9,9,8,1,93
Kenya Murunga New Gatanga FCS Mukurwe Factory AB,2,9,9,9,9,8,1,94
Brazil Recreio Selectivo,2,9,8,8,9,8,1,92
Ethiopia WORKA,2,9,9,9,9,8,1,94
Guatemala Hunapu,2,9,8,9,9,8,1,93
Ethiopia Banko Dhadhato Washed,1,9,9,9,9,8,1,94
Kenya Rugeto Peaberry,3,9,9,8,9,8,1,93
Gayo Aceh Sumatra,2,9,8,8,9,8,1,92
Kenya Karuthi AA,2,9,9,9,9,9,1,95
Kenya Nyeri Nudurutu Factory AB,2,9,9,9,9,8,1,94
Ethiopia Kochere Washed Saona Lot,2,9,9,9,9,9,1,95
Ethiopia Guji Natural Dasaya,2,9,9,9,9,8,1,94
Auromar Geisha Natural,2,9,8,9,9,8,1,93
Holiday Blend,2,9,8,9,9,8,1,93
Kith & Kin,2,9,9,8,9,8,1,93
El Salvador Pacamara,2,9,8,8,9,8,1,92
Guji Oraga Tabe,2,9,8,8,9,8,1,92
Baru Gesha,2,9,9,9,10,9,1,96
Bombe Natural Sidama,2,9,8,8,9,8,1,92
Ethiopia Yirgacheffe Botabaa G1,2,8,9,8,9,8,1,92
100% Kona Bourbon Pointu Laurina,2,9,9,9,9,9,1,95
Ethiopia Haro Wachu,2,9,9,9,9,8,1,94
Banco Gotete Ethiopia,2,9,9,9,9,8,1,94
Ethiopia Yirgacheffe Kochere,2,9,8,9,9,8,1,93
ASOPAP Colombia,2,8,8,8,8,8,1,90
Ethiopia Deri Kochoha,2,9,8,9,9,8,1,93
Espresso,3,8,1,8,8,8,9,91
Kenya Ruthaka Peaberry,3,9,9,9,10,8,1,95
Ethiopia Gora Kone Sidamo,2,9,8,9,9,8,1,93
Specialty Coffee Blend Espresso,2,9,1,8,9,8,9,93
Honduras Las Flores Parainema,2,9,9,9,9,8,1,94
Kivu DR Congo,2,9,9,9,9,8,1,94
Santa Luzia Brazil,2,9,8,9,9,8,1,93
Porfirio Castellanos Honduras,2,9,9,8,9,8,1,93
Ethiopia Yirgacheffe Awassa,2,9,9,8,9,8,1,93
Panama Ninety Plus Perci Lot 50,2,10,8,10,10,9,1,97
Colombia Sidra,2,9,9,9,9,8,1,94
Colombia Geisha,2,9,9,9,9,8,1,94
Rwanda Kanzu,2,9,9,9,9,8,1,94
Ethiopia Kochere Natural,2,9,9,9,9,8,1,94
Cirque Tarrazu F1 Natural,7,8,7,9,9,7,1,90
Kenya Thirikwa Single-Origin Espresso,3,9,1,8,9,9,9,94
Mocha Java Blend Fair Trade Organic,2,9,8,8,9,8,1,92
Sumatra Tano Batak,2,9,9,9,9,9,1,95
Moonbow Decaf,4,8,8,9,9,8,1,92
